Month,Ledger_Account_Number,Debit_Amount,Credit_Amount,Ledger_Account_Name,Beginning_Balance,Ending_Balance,eTax_Category
2021-05,10E200180,1170854,0,通信費,1314451,2485305,販売費及び一般管理費
2021-05,10E200200,540384,422717,消耗品費,352077,469744,販売費及び一般管理費
2021-05,10E200210,66000,0,租税公課,56000,122000,販売費及び一般管理費
2021-05,10E200240,318820,0,保険料,318820,637640,販売費及び一般管理費
2021-05,10E200370,5515630,0,給料及び手当,0,5515630,販売費及び一般管理費
2021-05,10E200520,231672,0,雑給,396465,628137,販売費及び一般管理費
2021-05,10E200540,764485,0,法定福利費,743926,1508411,販売費及び一般管理費
2021-05,10E200600,139710,0,支払報酬,139710,279420,販売費及び一般管理費
2021-05,10E200690,12442,0,支払手数料,10552,22994,販売費及び一般管理費
2021-05,10E200720,3449000,0,地代家賃,3449000,6898000,販売費及び一般管理費
2021-05,10E200730,293850,0,借地借家料,293850,587700,販売費及び一般管理費
2021-05,10E200870,3570154,0,運賃,3580147,7150301,販売費及び一般管理費
2021-05,10E201000,122700,0,修繕維持費,35850,158550,販売費及び一般管理費
2021-05,10E201040,645774,0,水道光熱費,615042,1260816,販売費及び一般管理費
2021-05,10E201110,148755,0,事務用消耗品費,142108,290863,販売費及び一般管理費
2021-05,10E201120,605723,0,車両費,614477,1220200,販売費及び一般管理費
2021-05,10E201130,55474,0,会議費,24995,80469,販売費及び一般管理費
2021-05,10E201140,116000,0,諸会費,116000,232000,販売費及び一般管理費
2021-05,10E201160,24982,0,図書費,24982,49964,販売費及び一般管理費
2021-05,10E201230,1160537,0,旅費及び交通費,1012406,2172943,販売費及び一般管理費
2021-05,10E201270,486392,0,雑費,477559,963951,販売費及び一般管理費
2021-05,10E300020,118344,0,支払利息,91057,209401,営業外費用
2021-05,10A100020,119166656,132710538,現金及び預金,324994366,311450484,流動資産
2021-05,10A100060,33785761,19191858,受取手形,16412146,31006049,流動資産
2021-05,10A100090,61189848,79413008,売掛金,110168437,91945277,流動資産
2021-05,10A100610,0,40000,短期貸付金,240000,200000,流動資産
2021-05,10A230570,125000,0,保険積立金,152813,277813,投資その他の資産
2021-05,10B100030,13344010,6591904,支払手形,29176682,22424576,流動負債
2021-05,10B100040,36986269,37677571,買掛金,252713764,253405066,流動負債
2021-05,10B100630,7529245,8399463,未払金,890898,1761116,流動負債
2021-05,10B100640,2864378,0,未払法人税等,2864378,0,流動負債
2021-05,10B100650,1862000,0,未払事業所税,1862000,0,流動負債
2021-05,10B100660,4947100,0,未払消費税等,4947100,0,流動負債
2021-05,10B100690,1494720,6789,預り金,1487931,0,流動負債
2021-05,10B100790,653500,0,短期借入金,7188500,6535000,流動負債
2021-05,10D100101,0,30423579,電子取引売上高,0,30423579,売上高
2021-05,10D100102,0,31354733,電子取引以外売上高,60505552,91860285,売上高
2021-05,10D100111,174192,0,電子取引売上値引及び戻り高,24480,198672,売上高
2021-05,10D100112,330272,0,電子取引以外売上値引及び戻り高,143456,473728,売上高
2021-05,10E100131,12973908,0,電子取引当期商品仕入高,12286234,25260142,売上原価
2021-05,10E100132,24471673,0,電子取引以外当期商品仕入高,23205448,47677121,売上原価
2021-05,10E200020,2042500,0,販売手数料,2266000,4308500,販売費及び一般管理費
2021-05,10E200050,177200,0,広告宣伝費,191500,368700,販売費及び一般管理費
2021-05,10E200090,1720000,0,役員報酬,7422352,9142352,販売費及び一般管理費
2021-05,10E200140,402832,0,福利厚生費,302784,705616,販売費及び一般管理費
2021-05,10E200150,433414,0,交際費,387529,820943,販売費及び一般管理費
2021-05,10E200180,1170854,0,通信費,1314451,2485305,販売費及び一般管理費
2021-05,10E200200,540384,422717,消耗品費,352077,469744,販売費及び一般管理費
2021-05,10E200210,66000,0,租税公課,56000,122000,販売費及び一般管理費
2021-05,10E200240,318820,0,保険料,318820,637640,販売費及び一般管理費
2021-05,10E200370,5515630,0,給料及び手当,0,5515630,販売費及び一般管理費
2021-05,10E200520,231672,0,雑給,396465,628137,販売費及び一般管理費
2021-05,10E200540,764485,0,法定福利費,743926,1508411,販売費及び一般管理費
2021-05,10E200600,139710,0,支払報酬,139710,279420,販売費及び一般管理費
2021-05,10E200690,12442,0,支払手数料,10552,22994,販売費及び一般管理費
2021-05,10E200720,3449000,0,地代家賃,3449000,6898000,販売費及び一般管理費
2021-05,10E200730,293850,0,借地借家料,293850,587700,販売費及び一般管理費
2021-05,10E200870,3570154,0,運賃,3580147,7150301,販売費及び一般管理費
2021-05,10E201000,122700,0,修繕維持費,35850,158550,販売費及び一般管理費
2021-05,10E201040,645774,0,水道光熱費,615042,1260816,販売費及び一般管理費
2021-05,10E201110,148755,0,事務用消耗品費,142108,290863,販売費及び一般管理費
2021-05,10E201120,605723,0,車両費,614477,1220200,販売費及び一般管理費
2021-05,10E201130,55474,0,会議費,24995,80469,販売費及び一般管理費
2021-05,10E201140,116000,0,諸会費,116000,232000,販売費及び一般管理費
2021-05,10E201160,24982,0,図書費,24982,49964,販売費及び一般管理費
2021-05,10E201230,1160537,0,旅費及び交通費,1012406,2172943,販売費及び一般管理費
2021-05,10E201270,486392,0,雑費,477559,963951,販売費及び一般管理費
2021-05,10E300020,118344,0,支払利息,91057,209401,営業外費用
2021-05,10A100020,119166656,132710538,現金及び預金,324994366,311450484,流動資産
2021-05,10A100060,33785761,19191858,受取手形,16412146,31006049,流動資産
2021-05,10A100090,61189848,79413008,売掛金,110168437,91945277,流動資産
2021-05,10A100610,0,40000,短期貸付金,240000,200000,流動資産
2021-05,10A230570,125000,0,保険積立金,152813,277813,投資その他の資産
2021-05,10B100030,13344010,6591904,支払手形,29176682,22424576,流動負債
2021-05,10B100040,36986269,37677571,買掛金,252713764,253405066,流動負債
2021-05,10B100630,7529245,8399463,未払金,890898,1761116,流動負債
2021-05,10B100640,2864378,0,未払法人税等,2864378,0,流動負債
2021-05,10B100650,1862000,0,未払事業所税,1862000,0,流動負債
2021-05,10B100660,4947100,0,未払消費税等,4947100,0,流動負債
2021-05,10B100690,1494720,6789,預り金,1487931,0,流動負債
2021-05,10B100790,653500,0,短期借入金,7188500,6535000,流動負債
2021-05,10D100101,0,30423579,電子取引売上高,0,30423579,売上高
2021-05,10D100102,0,31354733,電子取引以外売上高,60505552,91860285,売上高
2021-05,10D100111,174192,0,電子取引売上値引及び戻り高,24480,198672,売上高
2021-05,10D100112,330272,0,電子取引以外売上値引及び戻り高,143456,473728,売上高
2021-05,10E100131,12973908,0,電子取引当期商品仕入高,12286234,25260142,売上原価
2021-05,10E100132,24471673,0,電子取引以外当期商品仕入高,23205448,47677121,売上原価
2021-05,10E200020,2042500,0,販売手数料,2266000,4308500,販売費及び一般管理費
2021-05,10E200050,177200,0,広告宣伝費,191500,368700,販売費及び一般管理費
2021-05,10E200090,1720000,0,役員報酬,7422352,9142352,販売費及び一般管理費
2021-05,10E200140,402832,0,福利厚生費,302784,705616,販売費及び一般管理費
2021-05,10E200150,433414,0,交際費,387529,820943,販売費及び一般管理費
2021-05,10E200180,1170854,0,通信費,1314451,2485305,販売費及び一般管理費
2021-05,10E200200,540384,422717,消耗品費,352077,469744,販売費及び一般管理費
2021-05,10E200210,66000,0,租税公課,56000,122000,販売費及び一般管理費
2021-05,10E200240,318820,0,保険料,318820,637640,販売費及び一般管理費
2021-05,10E200370,5515630,0,給料及び手当,0,5515630,販売費及び一般管理費
2021-05,10E200520,231672,0,雑給,396465,628137,販売費及び一般管理費
2021-05,10E200540,764485,0,法定福利費,743926,1508411,販売費及び一般管理費
2021-05,10E200600,139710,0,支払報酬,139710,279420,販売費及び一般管理費
2021-05,10E200690,12442,0,支払手数料,10552,22994,販売費及び一般管理費
2021-05,10E200720,3449000,0,地代家賃,3449000,6898000,販売費及び一般管理費
2021-05,10E200730,293850,0,借地借家料,293850,587700,販売費及び一般管理費
2021-05,10E200870,3570154,0,運賃,3580147,7150301,販売費及び一般管理費
2021-05,10E201000,122700,0,修繕維持費,35850,158550,販売費及び一般管理費
2021-05,10E201040,645774,0,水道光熱費,615042,1260816,販売費及び一般管理費
2021-05,10E201110,148755,0,事務用消耗品費,142108,290863,販売費及び一般管理費
2021-05,10E201120,605723,0,車両費,614477,1220200,販売費及び一般管理費
2021-05,10E201130,55474,0,会議費,24995,80469,販売費及び一般管理費
2021-05,10E201140,116000,0,諸会費,116000,232000,販売費及び一般管理費
2021-05,10E201160,24982,0,図書費,24982,49964,販売費及び一般管理費
2021-05,10E201230,1160537,0,旅費及び交通費,1012406,2172943,販売費及び一般管理費
2021-05,10E201270,486392,0,雑費,477559,963951,販売費及び一般管理費
2021-05,10E300020,118344,0,支払利息,91057,209401,営業外費用
