Document_Party_Role_ID,Document_ID,Role_Code,Party_ID,Party_Name,Department_Name,Person_Name,Position_Name,Contact,Snapshot_Basis
DPR-202104-900021-1-AP,DOC-SET-202104-900021-1-AP,SUPPLIER,V001,Demo Vendor Keystone,,,,,synthetic master
DPR-202104-900025-1-AP,DOC-INV-202104-900025-1-AP,SUPPLIER,V001,Demo Vendor Keystone,,,,,synthetic master
DPR-202104-900040-2-AR,DOC-INV-202104-900040-2-AR,CUSTOMER,C001,Demo Customer Aurora,,,,,synthetic master
DPR-202104-900002-2-AR,DOC-INV-202104-900002-2-AR,CUSTOMER,C001,Demo Customer Aurora,,,,,synthetic master
DPR-202104-900041-2-AR,DOC-INV-202104-900041-2-AR,CUSTOMER,C001,Demo Customer Aurora,,,,,synthetic master
DPR-202104-900009-1-AP,DOC-SET-202104-900009-1-AP,SUPPLIER,V001,Demo Vendor Keystone,,,,,synthetic master
DPR-202104-900042-2-AR,DOC-INV-202104-900042-2-AR,CUSTOMER,C001,Demo Customer Aurora,,,,,synthetic master
DPR-202104-900057-2-AP,DOC-SET-202104-900057-2-AP,SUPPLIER,V001,Demo Vendor Keystone,,,,,synthetic master
DPR-202104-900022-2-AR,DOC-INV-202104-900022-2-AR,CUSTOMER,C001,Demo Customer Aurora,,,,,synthetic master
DPR-202104-900061-1-AP,DOC-SET-202104-900061-1-AP,SUPPLIER,V001,Demo Vendor Keystone,,,,,synthetic master
DPR-202104-900053-1-AR,DOC-SET-202104-900053-1-AR,CUSTOMER,C001,Demo Customer Aurora,,,,,synthetic master
DPR-202104-900013-1-AR,DOC-SET-202104-900013-1-AR,CUSTOMER,C001,Demo Customer Aurora,,,,,synthetic master
DPR-202104-900047-2-AP,DOC-SET-202104-900047-2-AP,SUPPLIER,V001,Demo Vendor Keystone,,,,,synthetic master
DPR-202104-900054-1-AR,DOC-SET-202104-900054-1-AR,CUSTOMER,C001,Demo Customer Aurora,,,,,synthetic master
DPR-202104-900062-2-AR,DOC-INV-202104-900062-2-AR,CUSTOMER,C001,Demo Customer Aurora,,,,,synthetic master
DPR-202105-900121-2-AR,DOC-INV-202105-900121-2-AR,CUSTOMER,C001,Demo Customer Aurora,,,,,synthetic master
DPR-202105-900086-2-AR,DOC-INV-202105-900086-2-AR,CUSTOMER,C001,Demo Customer Aurora,,,,,synthetic master
DPR-202105-900101-2-AR,DOC-INV-202105-900101-2-AR,CUSTOMER,C001,Demo Customer Aurora,,,,,synthetic master
DPR-202105-900094-1-AR,DOC-SET-202105-900094-1-AR,CUSTOMER,C001,Demo Customer Aurora,,,,,synthetic master
DPR-202105-900091-2-AR,DOC-INV-202105-900091-2-AR,CUSTOMER,C001,Demo Customer Aurora,,,,,synthetic master
DPR-202105-900095-1-AP,DOC-INV-202105-900095-1-AP,SUPPLIER,V001,Demo Vendor Keystone,,,,,synthetic master
DPR-202105-900100-2-AR,DOC-INV-202105-900100-2-AR,CUSTOMER,C001,Demo Customer Aurora,,,,,synthetic master
DPR-202105-900092-2-AR,DOC-INV-202105-900092-2-AR,CUSTOMER,C001,Demo Customer Aurora,,,,,synthetic master
DPR-202105-900111-2-AR,DOC-INV-202105-900111-2-AR,CUSTOMER,C001,Demo Customer Aurora,,,,,synthetic master
DPR-202105-900066-1-AP,DOC-INV-202105-900066-1-AP,SUPPLIER,V001,Demo Vendor Keystone,,,,,synthetic master
DPR-202105-900068-2-AR,DOC-INV-202105-900068-2-AR,CUSTOMER,C001,Demo Customer Aurora,,,,,synthetic master
DPR-202105-900075-1-AP,DOC-INV-202105-900075-1-AP,SUPPLIER,V001,Demo Vendor Keystone,,,,,synthetic master
DPR-202105-900082-2-AR,DOC-INV-202105-900082-2-AR,CUSTOMER,C001,Demo Customer Aurora,,,,,synthetic master
DPR-202105-900099-1-AP,DOC-SET-202105-900099-1-AP,SUPPLIER,V001,Demo Vendor Keystone,,,,,synthetic master
DPR-202105-900076-1-AP,DOC-INV-202105-900076-1-AP,SUPPLIER,V001,Demo Vendor Keystone,,,,,synthetic master
DPR-202105-900077-2-AP,DOC-SET-202105-900077-2-AP,SUPPLIER,V001,Demo Vendor Keystone,,,,,synthetic master
DPR-202105-900106-1-AP,DOC-INV-202105-900106-1-AP,SUPPLIER,V001,Demo Vendor Keystone,,,,,synthetic master
DPR-202105-900074-2-AR,DOC-INV-202105-900074-2-AR,CUSTOMER,C001,Demo Customer Aurora,,,,,synthetic master
DPR-202105-900096-1-AP,DOC-INV-202105-900096-1-AP,SUPPLIER,V001,Demo Vendor Keystone,,,,,synthetic master
DPR-202105-900073-1-AR,DOC-SET-202105-900073-1-AR,CUSTOMER,C001,Demo Customer Aurora,,,,,synthetic master
DPR-202105-900067-2-AP,DOC-SET-202105-900067-2-AP,SUPPLIER,V001,Demo Vendor Keystone,,,,,synthetic master
DPR-202105-900117-2-AP,DOC-SET-202105-900117-2-AP,SUPPLIER,V001,Demo Vendor Keystone,,,,,synthetic master
DPR-202105-900080-2-AR,DOC-INV-202105-900080-2-AR,CUSTOMER,C001,Demo Customer Aurora,,,,,synthetic master
DPR-202105-900116-2-AR,DOC-INV-202105-900116-2-AR,CUSTOMER,C001,Demo Customer Aurora,,,,,synthetic master
DPR-202105-900122-2-AR,DOC-INV-202105-900122-2-AR,CUSTOMER,C001,Demo Customer Aurora,,,,,synthetic master
DPR-202105-900081-2-AR,DOC-INV-202105-900081-2-AR,CUSTOMER,C001,Demo Customer Aurora,,,,,synthetic master
DPR-202105-900113-1-AR,DOC-SET-202105-900113-1-AR,CUSTOMER,C001,Demo Customer Aurora,,,,,synthetic master
DPR-202105-900085-1-AP,DOC-INV-202105-900085-1-AP,SUPPLIER,V001,Demo Vendor Keystone,,,,,synthetic master
DPR-202105-900087-2-AP,DOC-SET-202105-900087-2-AP,SUPPLIER,V001,Demo Vendor Keystone,,,,,synthetic master
DPR-202105-900064-1-AR,DOC-SET-202105-900064-1-AR,CUSTOMER,C001,Demo Customer Aurora,,,,,synthetic master
DPR-202105-900104-1-AR,DOC-SET-202105-900104-1-AR,CUSTOMER,C001,Demo Customer Aurora,,,,,synthetic master
DPR-202105-900083-1-AR,DOC-SET-202105-900083-1-AR,CUSTOMER,C001,Demo Customer Aurora,,,,,synthetic master
DPR-202105-900107-2-AP,DOC-SET-202105-900107-2-AP,SUPPLIER,V001,Demo Vendor Keystone,,,,,synthetic master
DPR-202105-900063-1-AR,DOC-SET-202105-900063-1-AR,CUSTOMER,C001,Demo Customer Aurora,,,,,synthetic master
DPR-202105-900114-1-AR,DOC-SET-202105-900114-1-AR,CUSTOMER,C001,Demo Customer Aurora,,,,,synthetic master
DPR-202105-900109-1-AP,DOC-SET-202105-900109-1-AP,SUPPLIER,V001,Demo Vendor Keystone,,,,,synthetic master
DPR-202105-900070-2-AR,DOC-INV-202105-900070-2-AR,CUSTOMER,C001,Demo Customer Aurora,,,,,synthetic master
DPR-202105-900102-2-AR,DOC-INV-202105-900102-2-AR,CUSTOMER,C001,Demo Customer Aurora,,,,,synthetic master
DPR-202105-900103-1-AP,DOC-SET-202105-900103-1-AP,SUPPLIER,V001,Demo Vendor Keystone,,,,,synthetic master
DPR-202105-900072-2-AR,DOC-INV-202105-900072-2-AR,CUSTOMER,C001,Demo Customer Aurora,,,,,synthetic master
DPR-202105-900120-2-AR,DOC-INV-202105-900120-2-AR,CUSTOMER,C001,Demo Customer Aurora,,,,,synthetic master
DPR-202105-900110-2-AR,DOC-INV-202105-900110-2-AR,CUSTOMER,C001,Demo Customer Aurora,,,,,synthetic master
DPR-202105-900093-1-AP,DOC-SET-202105-900093-1-AP,SUPPLIER,V001,Demo Vendor Keystone,,,,,synthetic master
DPR-202105-900115-1-AP,DOC-INV-202105-900115-1-AP,SUPPLIER,V001,Demo Vendor Keystone,,,,,synthetic master
DPR-202106-900143-1-AR,DOC-SET-202106-900143-1-AR,CUSTOMER,C001,Demo Customer Aurora,,,,,synthetic master
DPR-202106-900170-2-AR,DOC-INV-202106-900170-2-AR,CUSTOMER,C001,Demo Customer Aurora,,,,,synthetic master
DPR-202106-900124-1-AR,DOC-SET-202106-900124-1-AR,CUSTOMER,C001,Demo Customer Aurora,,,,,synthetic master
DPR-202106-900133-1-AR,DOC-SET-202106-900133-1-AR,CUSTOMER,C001,Demo Customer Aurora,,,,,synthetic master
DPR-202106-900167-2-AP,DOC-SET-202106-900167-2-AP,SUPPLIER,V001,Demo Vendor Keystone,,,,,synthetic master
DPR-202106-900169-1-AR,DOC-SET-202106-900169-1-AR,CUSTOMER,C001,Demo Customer Aurora,,,,,synthetic master
DPR-202106-900169-3-AR,DOC-SET-202106-900169-3-AR,CUSTOMER,C001,Demo Customer Aurora,,,,,synthetic master
DPR-202106-900169-4-AR,DOC-SET-202106-900169-4-AR,CUSTOMER,C001,Demo Customer Aurora,,,,,synthetic master
DPR-202106-900154-1-AR,DOC-SET-202106-900154-1-AR,CUSTOMER,C001,Demo Customer Aurora,,,,,synthetic master
DPR-202106-900128-2-AR,DOC-INV-202106-900128-2-AR,CUSTOMER,C001,Demo Customer Aurora,,,,,synthetic master
DPR-202106-900146-1-AP,DOC-INV-202106-900146-1-AP,SUPPLIER,V001,Demo Vendor Keystone,,,,,synthetic master
DPR-202106-900155-1-AP,DOC-INV-202106-900155-1-AP,SUPPLIER,V001,Demo Vendor Keystone,,,,,synthetic master
DPR-202106-900140-2-AR,DOC-INV-202106-900140-2-AR,CUSTOMER,C001,Demo Customer Aurora,,,,,synthetic master
DPR-202106-900173-1-AR,DOC-SET-202106-900173-1-AR,CUSTOMER,C001,Demo Customer Aurora,,,,,synthetic master
DPR-202106-900145-1-AP,DOC-INV-202106-900145-1-AP,SUPPLIER,V001,Demo Vendor Keystone,,,,,synthetic master
DPR-202106-900174-2-AR,DOC-INV-202106-900174-2-AR,CUSTOMER,C001,Demo Customer Aurora,,,,,synthetic master
DPR-202106-900132-2-AR,DOC-INV-202106-900132-2-AR,CUSTOMER,C001,Demo Customer Aurora,,,,,synthetic master
DPR-202106-900153-1-AP,DOC-SET-202106-900153-1-AP,SUPPLIER,V001,Demo Vendor Keystone,,,,,synthetic master
DPR-202106-900141-1-AP,DOC-SET-202106-900141-1-AP,SUPPLIER,V001,Demo Vendor Keystone,,,,,synthetic master
DPR-202106-900162-2-AR,DOC-INV-202106-900162-2-AR,CUSTOMER,C001,Demo Customer Aurora,,,,,synthetic master
DPR-202106-900136-1-AP,DOC-INV-202106-900136-1-AP,SUPPLIER,V001,Demo Vendor Keystone,,,,,synthetic master
DPR-202106-900164-1-AR,DOC-SET-202106-900164-1-AR,CUSTOMER,C001,Demo Customer Aurora,,,,,synthetic master
DPR-202106-900130-2-AR,DOC-INV-202106-900130-2-AR,CUSTOMER,C001,Demo Customer Aurora,,,,,synthetic master
DPR-202106-900123-1-AR,DOC-SET-202106-900123-1-AR,CUSTOMER,C001,Demo Customer Aurora,,,,,synthetic master
DPR-202106-900176-1-AP,DOC-INV-202106-900176-1-AP,SUPPLIER,V001,Demo Vendor Keystone,,,,,synthetic master
DPR-202106-900126-1-AP,DOC-INV-202106-900126-1-AP,SUPPLIER,V001,Demo Vendor Keystone,,,,,synthetic master
DPR-202106-900160-2-AR,DOC-INV-202106-900160-2-AR,CUSTOMER,C001,Demo Customer Aurora,,,,,synthetic master
DPR-202106-900134-1-AR,DOC-SET-202106-900134-1-AR,CUSTOMER,C001,Demo Customer Aurora,,,,,synthetic master
DPR-202106-900147-1-AP,DOC-SET-202106-900147-1-AP,SUPPLIER,V001,Demo Vendor Keystone,,,,,synthetic master
DPR-202106-900175-1-AP,DOC-INV-202106-900175-1-AP,SUPPLIER,V001,Demo Vendor Keystone,,,,,synthetic master
DPR-202106-900135-1-AP,DOC-SET-202106-900135-1-AP,SUPPLIER,V001,Demo Vendor Keystone,,,,,synthetic master
DPR-202106-900177-2-AP,DOC-SET-202106-900177-2-AP,SUPPLIER,V001,Demo Vendor Keystone,,,,,synthetic master
DPR-202106-900152-2-AR,DOC-INV-202106-900152-2-AR,CUSTOMER,C001,Demo Customer Aurora,,,,,synthetic master
DPR-202106-900156-1-AP,DOC-INV-202106-900156-1-AP,SUPPLIER,V001,Demo Vendor Keystone,,,,,synthetic master
DPR-202106-900161-2-AR,DOC-INV-202106-900161-2-AR,CUSTOMER,C001,Demo Customer Aurora,,,,,synthetic master
DPR-202106-900151-2-AR,DOC-INV-202106-900151-2-AR,CUSTOMER,C001,Demo Customer Aurora,,,,,synthetic master
DPR-202106-900166-2-AR,DOC-INV-202106-900166-2-AR,CUSTOMER,C001,Demo Customer Aurora,,,,,synthetic master
DPR-202106-900171-2-AR,DOC-INV-202106-900171-2-AR,CUSTOMER,C001,Demo Customer Aurora,,,,,synthetic master
DPR-202106-900127-2-AP,DOC-SET-202106-900127-2-AP,SUPPLIER,V001,Demo Vendor Keystone,,,,,synthetic master
DPR-202106-900142-2-AR,DOC-INV-202106-900142-2-AR,CUSTOMER,C001,Demo Customer Aurora,,,,,synthetic master
DPR-202106-900165-1-AP,DOC-INV-202106-900165-1-AP,SUPPLIER,V001,Demo Vendor Keystone,,,,,synthetic master
DPR-202107-900190-2-AR,DOC-INV-202107-900190-2-AR,CUSTOMER,C001,Demo Customer Aurora,,,,,synthetic master
DPR-202107-900211-2-AR,DOC-INV-202107-900211-2-AR,CUSTOMER,C001,Demo Customer Aurora,,,,,synthetic master
DPR-202107-900226-1-AP,DOC-INV-202107-900226-1-AP,SUPPLIER,V001,Demo Vendor Keystone,,,,,synthetic master
DPR-202107-900235-1-AP,DOC-SET-202107-900235-1-AP,SUPPLIER,V001,Demo Vendor Keystone,,,,,synthetic master
DPR-202107-900194-1-AR,DOC-SET-202107-900194-1-AR,CUSTOMER,C001,Demo Customer Aurora,,,,,synthetic master
DPR-202107-900201-2-AR,DOC-INV-202107-900201-2-AR,CUSTOMER,C001,Demo Customer Aurora,,,,,synthetic master
DPR-202107-900231-2-AR,DOC-INV-202107-900231-2-AR,CUSTOMER,C001,Demo Customer Aurora,,,,,synthetic master
DPR-202107-900199-1-AP,DOC-SET-202107-900199-1-AP,SUPPLIER,V001,Demo Vendor Keystone,,,,,synthetic master
DPR-202107-900181-1-AP,DOC-SET-202107-900181-1-AP,SUPPLIER,V001,Demo Vendor Keystone,,,,,synthetic master
DPR-202107-900192-2-AR,DOC-INV-202107-900192-2-AR,CUSTOMER,C001,Demo Customer Aurora,,,,,synthetic master
DPR-202107-900186-1-AP,DOC-INV-202107-900186-1-AP,SUPPLIER,V001,Demo Vendor Keystone,,,,,synthetic master
DPR-202107-900234-1-AR,DOC-SET-202107-900234-1-AR,CUSTOMER,C001,Demo Customer Aurora,,,,,synthetic master
DPR-202107-900221-2-AR,DOC-INV-202107-900221-2-AR,CUSTOMER,C001,Demo Customer Aurora,,,,,synthetic master
DPR-202107-900195-1-AP,DOC-INV-202107-900195-1-AP,SUPPLIER,V001,Demo Vendor Keystone,,,,,synthetic master
DPR-202107-900200-2-AR,DOC-INV-202107-900200-2-AR,CUSTOMER,C001,Demo Customer Aurora,,,,,synthetic master
DPR-202107-900204-2-AR,DOC-INV-202107-900204-2-AR,CUSTOMER,C001,Demo Customer Aurora,,,,,synthetic master
DPR-202107-900182-2-AR,DOC-INV-202107-900182-2-AR,CUSTOMER,C001,Demo Customer Aurora,,,,,synthetic master
DPR-202107-900215-1-AP,DOC-INV-202107-900215-1-AP,SUPPLIER,V001,Demo Vendor Keystone,,,,,synthetic master
DPR-202107-900233-1-AR,DOC-SET-202107-900233-1-AR,CUSTOMER,C001,Demo Customer Aurora,,,,,synthetic master
DPR-202107-900180-2-AR,DOC-INV-202107-900180-2-AR,CUSTOMER,C001,Demo Customer Aurora,,,,,synthetic master
DPR-202107-900193-1-AP,DOC-SET-202107-900193-1-AP,SUPPLIER,V001,Demo Vendor Keystone,,,,,synthetic master
DPR-202107-900210-2-AR,DOC-INV-202107-900210-2-AR,CUSTOMER,C001,Demo Customer Aurora,,,,,synthetic master
DPR-202107-900196-1-AP,DOC-INV-202107-900196-1-AP,SUPPLIER,V001,Demo Vendor Keystone,,,,,synthetic master
DPR-202107-900213-1-AR,DOC-SET-202107-900213-1-AR,CUSTOMER,C001,Demo Customer Aurora,,,,,synthetic master
DPR-202107-900224-1-AR,DOC-SET-202107-900224-1-AR,CUSTOMER,C001,Demo Customer Aurora,,,,,synthetic master
DPR-202107-900236-1-AP,DOC-INV-202107-900236-1-AP,SUPPLIER,V001,Demo Vendor Keystone,,,,,synthetic master
DPR-202107-900237-2-AP,DOC-SET-202107-900237-2-AP,SUPPLIER,V001,Demo Vendor Keystone,,,,,synthetic master
DPR-202107-900183-1-AR,DOC-SET-202107-900183-1-AR,CUSTOMER,C001,Demo Customer Aurora,,,,,synthetic master
DPR-202107-900187-1-AP,DOC-SET-202107-900187-1-AP,SUPPLIER,V001,Demo Vendor Keystone,,,,,synthetic master
DPR-202107-900223-1-AP,DOC-SET-202107-900223-1-AP,SUPPLIER,V001,Demo Vendor Keystone,,,,,synthetic master
DPR-202107-900214-1-AR,DOC-SET-202107-900214-1-AR,CUSTOMER,C001,Demo Customer Aurora,,,,,synthetic master
DPR-202107-900203-1-AR,DOC-SET-202107-900203-1-AR,CUSTOMER,C001,Demo Customer Aurora,,,,,synthetic master
DPR-202107-900230-2-AR,DOC-INV-202107-900230-2-AR,CUSTOMER,C001,Demo Customer Aurora,,,,,synthetic master
DPR-202107-900216-2-AR,DOC-INV-202107-900216-2-AR,CUSTOMER,C001,Demo Customer Aurora,,,,,synthetic master
DPR-202107-900220-2-AR,DOC-INV-202107-900220-2-AR,CUSTOMER,C001,Demo Customer Aurora,,,,,synthetic master
DPR-202107-900222-2-AR,DOC-INV-202107-900222-2-AR,CUSTOMER,C001,Demo Customer Aurora,,,,,synthetic master
DPR-202107-900227-2-AP,DOC-SET-202107-900227-2-AP,SUPPLIER,V001,Demo Vendor Keystone,,,,,synthetic master
DPR-202107-900202-2-AR,DOC-INV-202107-900202-2-AR,CUSTOMER,C001,Demo Customer Aurora,,,,,synthetic master
DPR-202107-900205-1-AP,DOC-INV-202107-900205-1-AP,SUPPLIER,V001,Demo Vendor Keystone,,,,,synthetic master
DPR-202107-900207-2-AP,DOC-SET-202107-900207-2-AP,SUPPLIER,V001,Demo Vendor Keystone,,,,,synthetic master
DPR-202107-900185-1-AP,DOC-INV-202107-900185-1-AP,SUPPLIER,V001,Demo Vendor Keystone,,,,,synthetic master
DPR-202107-900217-2-AP,DOC-SET-202107-900217-2-AP,SUPPLIER,V001,Demo Vendor Keystone,,,,,synthetic master
DPR-202107-900229-1-AP,DOC-SET-202107-900229-1-AP,SUPPLIER,V001,Demo Vendor Keystone,,,,,synthetic master
DPR-202108-900274-1-AR,DOC-SET-202108-900274-1-AR,CUSTOMER,C001,Demo Customer Aurora,,,,,synthetic master
DPR-202108-900241-1-AP,DOC-SET-202108-900241-1-AP,SUPPLIER,V001,Demo Vendor Keystone,,,,,synthetic master
DPR-202108-900250-2-AR,DOC-INV-202108-900250-2-AR,CUSTOMER,C001,Demo Customer Aurora,,,,,synthetic master
DPR-202108-900252-2-AR,DOC-INV-202108-900252-2-AR,CUSTOMER,C001,Demo Customer Aurora,,,,,synthetic master
DPR-202108-900240-2-AR,DOC-INV-202108-900240-2-AR,CUSTOMER,C001,Demo Customer Aurora,,,,,synthetic master
DPR-202108-900277-2-AP,DOC-SET-202108-900277-2-AP,SUPPLIER,V001,Demo Vendor Keystone,,,,,synthetic master
DPR-202108-900273-1-AP,DOC-SET-202108-900273-1-AP,SUPPLIER,V001,Demo Vendor Keystone,,,,,synthetic master
DPR-202108-900255-1-AP,DOC-INV-202108-900255-1-AP,SUPPLIER,V001,Demo Vendor Keystone,,,,,synthetic master
DPR-202108-900245-1-AP,DOC-INV-202108-900245-1-AP,SUPPLIER,V001,Demo Vendor Keystone,,,,,synthetic master
DPR-202108-900280-2-AR,DOC-INV-202108-900280-2-AR,CUSTOMER,C001,Demo Customer Aurora,,,,,synthetic master
DPR-202108-900292-2-AR,DOC-INV-202108-900292-2-AR,CUSTOMER,C001,Demo Customer Aurora,,,,,synthetic master
DPR-202108-900287-1-AP,DOC-SET-202108-900287-1-AP,SUPPLIER,V001,Demo Vendor Keystone,,,,,synthetic master
DPR-202108-900253-1-AR,DOC-SET-202108-900253-1-AR,CUSTOMER,C001,Demo Customer Aurora,,,,,synthetic master
DPR-202108-900283-1-AR,DOC-SET-202108-900283-1-AR,CUSTOMER,C001,Demo Customer Aurora,,,,,synthetic master
DPR-202108-900294-2-AR,DOC-INV-202108-900294-2-AR,CUSTOMER,C001,Demo Customer Aurora,,,,,synthetic master
DPR-202108-900272-2-AR,DOC-INV-202108-900272-2-AR,CUSTOMER,C001,Demo Customer Aurora,,,,,synthetic master
DPR-202108-900248-2-AR,DOC-INV-202108-900248-2-AR,CUSTOMER,C001,Demo Customer Aurora,,,,,synthetic master
DPR-202108-900254-2-AR,DOC-INV-202108-900254-2-AR,CUSTOMER,C001,Demo Customer Aurora,,,,,synthetic master
DPR-202108-900261-2-AR,DOC-INV-202108-900261-2-AR,CUSTOMER,C001,Demo Customer Aurora,,,,,synthetic master
DPR-202108-900260-2-AR,DOC-INV-202108-900260-2-AR,CUSTOMER,C001,Demo Customer Aurora,,,,,synthetic master
DPR-202108-900282-2-AR,DOC-INV-202108-900282-2-AR,CUSTOMER,C001,Demo Customer Aurora,,,,,synthetic master
DPR-202108-900271-2-AR,DOC-INV-202108-900271-2-AR,CUSTOMER,C001,Demo Customer Aurora,,,,,synthetic master
DPR-202108-900284-1-AR,DOC-SET-202108-900284-1-AR,CUSTOMER,C001,Demo Customer Aurora,,,,,synthetic master
DPR-202108-900247-2-AP,DOC-SET-202108-900247-2-AP,SUPPLIER,V001,Demo Vendor Keystone,,,,,synthetic master
DPR-202108-900276-1-AR,DOC-SET-202108-900276-1-AR,CUSTOMER,C001,Demo Customer Aurora,,,,,synthetic master
DPR-202108-900276-3-AR,DOC-SET-202108-900276-3-AR,CUSTOMER,C001,Demo Customer Aurora,,,,,synthetic master
DPR-202108-900276-4-AR,DOC-SET-202108-900276-4-AR,CUSTOMER,C001,Demo Customer Aurora,,,,,synthetic master
DPR-202108-900281-1-AP,DOC-SET-202108-900281-1-AP,SUPPLIER,V001,Demo Vendor Keystone,,,,,synthetic master
